tipo,ref,nombre,apellido1,apellido2,email,rol,profesor_ref,nombre_grupo,alumnos_ref
usuario,PROF_C,Laura,Hernandez,Mora,laura.hernandez+6b4e19a2@example.invalid,profesor,,,
usuario,PROF_D,Miguel,Sanchez,Ortega,miguel.sanchez+8c2f7d91@example.invalid,profesor,,,

usuario,ALU_C1,Nerea,Castillo,Ramos,nerea.castillo+1e7a4c93@example.invalid,alumno,PROF_C,,
usuario,ALU_C2,Ivan,Flores,Marin,ivan.flores+3d9b6f20@example.invalid,alumno,PROF_C,,
usuario,ALU_C3,Clara,Dominguez,Leon,clara.dominguez+5f1c8a74@example.invalid,alumno,PROF_C,,
usuario,ALU_C4,Alvaro,Guerrero,Nuñez,alvaro.guerrero+7a3e2d85@example.invalid,alumno,PROF_C,,
usuario,ALU_C5,Isabel,Rojas,Calvo,isabel.rojas+9b6d0e31@example.invalid,alumno,PROF_C,,

usuario,ALU_D1,Hector,Medina,Aguilar,hector.medina+2c8f5b16@example.invalid,alumno,PROF_D,,
usuario,ALU_D2,Julia,Reyes,Fuentes,julia.reyes+4e1a9c62@example.invalid,alumno,PROF_D,,
usuario,ALU_D3,Marcos,Ibanez,Vidal,marcos.ibanez+6f3d7a08@example.invalid,alumno,PROF_D,,
usuario,ALU_D4,Carmen,Peña,Luna,carmen.pena+8a5b2e49@example.invalid,alumno,PROF_D,,
usuario,ALU_D5,Diego,Pastor,Soler,diego.pastor+0d7c4f83@example.invalid,alumno,PROF_D,,

grupo,GRP_C1,,,,,,PROF_C,Ini C,ALU_C1|ALU_C2|ALU_C3|ALU_C4|ALU_C5
grupo,GRP_C2,,,,,,PROF_C,Ava C,ALU_C1|ALU_C3|ALU_C5
grupo,GRP_D1,,,,,,PROF_D,Ini D,ALU_D1|ALU_D2|ALU_D3|ALU_D4|ALU_D5
